Semana;Cobertura de Potabilidad General (%);Semestre ;Año 
1;73,78;Enero-Junio;2017
2;79,4;Enero-Junio;2017
3;88,85;Enero-Junio;2017
4;83,39;Enero-Junio;2017
5;89,01;Enero-Junio;2017
6;86,44;Enero-Junio;2017
7;82,93;Enero-Junio;2017
8;86,28;Enero-Junio;2017
9;94,23;Enero-Junio;2017
10;84,55;Enero-Junio;2017
11;79,28;Enero-Junio;2017
12;76,36;Enero-Junio;2017
13;82,46;Enero-Junio;2017
14;80,81;Enero-Junio;2017
15;82,91;Enero-Junio;2017
16;82,91;Enero-Junio;2017
17;70,38;Enero-Junio;2017
18;66,85;Enero-Junio;2017
19;59,32;Enero-Junio;2017
20;81,11;Enero-Junio;2017
21;65,98;Enero-Junio;2017
22;53,6;Enero-Junio;2017
23;78,23;Enero-Junio;2017
24;76,49;Enero-Junio;2017
25;76,72;Enero-Junio;2017
26;72,85;Enero-Junio;2017
27;76,41;Julio-Diciembre;2017
28;78,48;Julio-Diciembre;2017
29;74,25;Julio-Diciembre;2017
30;81,69;Julio-Diciembre;2017
31;79,11;Julio-Diciembre;2017
32;84,14;Julio-Diciembre;2017
33;78,98;Julio-Diciembre;2017
34;79,86;Julio-Diciembre;2017
35;83,16;Julio-Diciembre;2017
36;81,23;Julio-Diciembre;2017
37;81,23;Julio-Diciembre;2017
38;82,83;Julio-Diciembre;2017
39;86,25;Julio-Diciembre;2017
40;80,7;Julio-Diciembre;2017
41;81,23;Julio-Diciembre;2017
42;81,5;Julio-Diciembre;2017
43;79,63;Julio-Diciembre;2017
44;81,39;Julio-Diciembre;2017
45;78,04;Julio-Diciembre;2017
46;71,8;Julio-Diciembre;2017
47;73,47;Julio-Diciembre;2017
48;75,31;Julio-Diciembre;2017
49;72,48;Julio-Diciembre;2017
50;83,13;Julio-Diciembre;2017
51;80,8;Julio-Diciembre;2017
52;83,39;Julio-Diciembre;2017
1;84,75;Enero-Junio;2018
2;70,24;Enero-Junio;2018
3;65,19;Enero-Junio;2018
4;73,7;Enero-Junio;2018
5;82,69;Enero-Junio;2018
6;76,98;Enero-Junio;2018
7;85,38;Enero-Junio;2018
8;82,69;Enero-Junio;2018
9;84,18;Enero-Junio;2018
10;85,12;Enero-Junio;2018
11;85,75;Enero-Junio;2018
12;80,4;Enero-Junio;2018
13;87,53;Enero-Junio;2018
14;82,73;Enero-Junio;2018
15;79,67;Enero-Junio;2018
16;73,45;Enero-Junio;2018
17;74,52;Enero-Junio;2018
18;75,36;Enero-Junio;2018
19;65,99;Enero-Junio;2018
20;65,8;Enero-Junio;2018
21;74,09;Enero-Junio;2018
22;73,88;Enero-Junio;2018
23;72,16;Enero-Junio;2018
24;75,7;Enero-Junio;2018
25;72,93;Enero-Junio;2018
26;66,14;Enero-Junio;2018
27;75,7;Julio-Diciembre;2018
28;72,93;Julio-Diciembre;2018
29;66,14;Julio-Diciembre;2018
30;78,38;Julio-Diciembre;2018
31;73,76;Julio-Diciembre;2018
32;67,55;Julio-Diciembre;2018
33;70,72;Julio-Diciembre;2018
34;78,27;Julio-Diciembre;2018
35;75,8;Julio-Diciembre;2018
36;76,62;Julio-Diciembre;2018
37;76,77;Julio-Diciembre;2018
38;75,4;Julio-Diciembre;2018
39;76,88;Julio-Diciembre;2018
40;80,56;Julio-Diciembre;2018
41;65,99;Julio-Diciembre;2018
42;71,94;Julio-Diciembre;2018
43;75,17;Julio-Diciembre;2018
44;78,07;Julio-Diciembre;2018
45;76,51;Julio-Diciembre;2018
46;70,81;Julio-Diciembre;2018
47;71,13;Julio-Diciembre;2018
48;80;Julio-Diciembre;2018
49;72,63;Julio-Diciembre;2018
50;80,74;Julio-Diciembre;2018
51;80,06;Julio-Diciembre;2018
52;78,08;Julio-Diciembre;2018
53;79,26;Julio-Diciembre;2018
1;77;Enero-Junio;2019
2;86,02;Enero-Junio;2019
3;77,41;Enero-Junio;2019
4;80,07;Enero-Junio;2019
5;78,23;Enero-Junio;2019
6;78,5;Enero-Junio;2019
7;79,7;Enero-Junio;2019
8;77,47;Enero-Junio;2019
9;85,82;Enero-Junio;2019
10;83,42;Enero-Junio;2019
11;77,48;Enero-Junio;2019
12;76,39;Enero-Junio;2019
13;86,06;Enero-Junio;2019
14;78,44;Enero-Junio;2019
15;78,8;Enero-Junio;2019
16;79,1;Enero-Junio;2019
17;80,74;Enero-Junio;2019
18;84,92;Enero-Junio;2019
19;75,69;Enero-Junio;2019
20;67,93;Enero-Junio;2019
21;70,92;Enero-Junio;2019
22;72,78;Enero-Junio;2019
23;66,26;Enero-Junio;2019
24;80,06;Enero-Junio;2019
25;73,4;Enero-Junio;2019
26;78,4;Enero-Junio;2019
1;N/A;Julio-Septiembre;2019
2;63,47;Julio-Septiembre;2019
3;76,1;Julio-Septiembre;2019
4;78,2;Julio-Septiembre;2019
5;88,29;Julio-Septiembre;2019
6;86,53;Julio-Septiembre;2019
7;N/A;Julio-Septiembre;2019
8;77,1;Julio-Septiembre;2019
9;66,67;Julio-Septiembre;2019
10;66,3;Julio-Septiembre;2019
11;76,92;Julio-Septiembre;2019
12;89,49;Julio-Septiembre;2019
13;56,18;Julio-Septiembre;2019
14;96,07;Julio-Septiembre;2019
15;100;Julio-Septiembre;2019
16;94,62;Julio-Septiembre;2019
17;89,05;Julio-Septiembre;2019
18;98,54;Julio-Septiembre;2019
19;95,24;Julio-Septiembre;2019
21;29;Julio-Septiembre;2019
