ANO,MES,PAIS,PROVINCIA,PLANTA,CANT. MUESTRA,INDICE_POTABILIDAD_(%),CLORO_RESIDUAL_(Mg/l)
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,22,"83,60","0,90"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,41,"95,10","1,10"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,42,"97,10","1,13"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,23,"100,00","1,10"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,5,"92,00","1,24"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,16,"95,30","1,10"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,17,"94,10","1,18"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,32,"95,60","1,03"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,15,"65,30","1,01"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,18,"87,80","1,12"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,19,"98,90","1,30"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,39,"93,30","1,00"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,19,"75,80","0,90"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,28,"100,00","1,30"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,36,"91,70","1,30"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,40,"96,00","1,10"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,21,"78,10","1,00"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,30,"100,00","1,22"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,36,"100,00","1,30"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,18,"100,00","1,01"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,18,"72,20","1,30"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,19,"100,00","1,23"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,19,"100,00","1,30"
2018,JULIO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA,36,"96,10","1,10"
2018,JULIO,REPUBLICA DOMINICANA,SANTIAGO,LA NORIEGA II,22,"93,60","1,40"
2018,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,32,"99,40","1,30"
2018,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,35,"99,40","1,30"
2018,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,10,"0,95","1,10"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,33,"97,00","1,10"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA II,3,"53,30","0,30"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,34,"98,80","1,30"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,34,"97,10","1,20"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,30"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,70"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,40,"93,50","1,00"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,41,"96,10","1,30"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,41,"96,60","1,20"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,30"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,33,"93,90","1,10"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,32,"100,00","1,30"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,33,"98,80","1,20"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","1,10"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,20"
