ANO,MES,PAIS,PROVINCIA,MUNICIPIO,PLANTA,CANTIDAD_(Millones M3)
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,71"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"2,06"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,86"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,29"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,16"
2018,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,10"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,02"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,40"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,89"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,86"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,06"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,10"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,02"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"8,15"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,93"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,56"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"0,92"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,02"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,32"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,65"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,76"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,14"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,10"
2018,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,05"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,76"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,83"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,98"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,57"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,60"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,81"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,90"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,51"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,13"
2018,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,06"
