No. de Solicitud;Tipo de Servicio;Acceso;Sexo;Oficina;Fecha de entrada;Tiempo de Respuesta;Fecha de respuesta;Condicion;Estatus 
CEHICA-001-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;3/4/2019;5;9/4/2019;OPTIMO;PROCESADO
CEHICA-002-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;5/4/2019;4;10/4/2019;OPTIMO;PROCESADO
CEHICA-003-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;12/4/2019;3;16/4/2019;OPTIMO;PROCESADO
CEHICA-004-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;16/4/2019;3;18/4/2019;OPTIMO;PROCESADO
CEHICA-005-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;17/4/2019;4;22/4/2019;OPTIMO;PROCESADO
CEHICA-006-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;2/5/2019;4;7/5/2019;OPTIMO;PROCESADO
CEHICA-007-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;6/5/2019;4;9/5/2019;OPTIMO;PROCESADO
CEHICA-008-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;15/5/2019;4;20/5/2019;OPTIMO;PROCESADO
CEHICA-009-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;15/5/2019;4;20/5/2019;OPTIMO;PROCESADO
CEHICA-010-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;15/5/2019;4;20/5/2019;OPTIMO;PROCESADO
CEHICA-011-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M ;Sede Central;16/5/2019;3;20/5/2019;OPTIMO;PROCESADO
CEHICA-012-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;20/5/2019;4;23/5/2019;OPTIMO;PROCESADO
CEHICA-013-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;5/6/2019;2;6/6/2019;OPTIMO;PROCESADO
CEHICA-014-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;10/6/2019;4;13/6/2019;OPTIMO;PROCESADO
CEHICA-015-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;12/6/2019;5;18/6/2019;OPTIMO;PROCESADO
CEHICA-016-19;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;21/6/2019;5;27/6/2019;OPTIMO;PROCESADO
