FECHA,AÑO,MES,SEMESTRE,PLANTA,PRODUCCION_MILLONES_M3,LOG_PRODUCCION,INDICE_POTABILIDAD_PCT,CLORO_RESIDUAL_MGL,NUM_MUESTRAS,ALERTA_CALIDAD,CUMPLE_OMS_CLORO,VAR_IP_MENSUAL,INDICE_EFICIENCIA,FECHA_DT
2018-04-01,2018,ABRIL,1er Semestre,10 MGD,0.76,0.5653,100.0,1.3,28,NORMAL,1,13.9,0.76,2018-04-01
2018-12-01,2018,DICIEMBRE,2do Semestre,10 MGD,0.98,0.6831,95.0,1.2,29,NORMAL,1,-5.0,0.931,2018-12-01
2018-01-01,2018,ENERO,1er Semestre,10 MGD,0.86,0.6206,95.1,1.1,41,NORMAL,1,,0.8179,2018-01-01
2018-02-01,2018,FEBRERO,1er Semestre,10 MGD,0.86,0.6206,95.3,1.1,16,NORMAL,1,0.21,0.8196,2018-02-01
2018-07-01,2018,JULIO,2do Semestre,10 MGD,0.94,0.6627,99.4,1.3,32,NORMAL,1,-0.6,0.9344,2018-07-01
2018-06-01,2018,JUNIO,1er Semestre,10 MGD,0.9,0.6419,100.0,1.23,19,NORMAL,1,0.0,0.9,2018-06-01
2018-03-01,2018,MARZO,1er Semestre,10 MGD,0.56,0.4447,87.8,1.12,18,BAJO,1,-7.87,0.4917,2018-03-01
2018-05-01,2018,MAYO,1er Semestre,10 MGD,0.98,0.6831,100.0,1.22,30,NORMAL,1,0.0,0.98,2018-05-01
2018-11-01,2018,NOVIEMBRE,2do Semestre,10 MGD,0.96,0.6729,100.0,1.3,32,NORMAL,1,4.06,0.96,2018-11-01
2018-10-01,2018,OCTUBRE,2do Semestre,10 MGD,0.91,0.6471,96.1,1.3,41,NORMAL,1,-2.73,0.8745,2018-10-01
2018-09-01,2018,SEPTIEMBRE,2do Semestre,10 MGD,0.93,0.6575,98.8,1.3,34,NORMAL,1,-0.6,0.9188,2018-09-01
2019-04-01,2019,ABRIL,1er Semestre,10 MGD,0.94,0.6627,96.8,1.4,31,NORMAL,1,-1.33,0.9099,2019-04-01
2019-08-01,2019,AGOSTO,2do Semestre,10 MGD,0.9,0.6419,95.3,1.2,34,NORMAL,1,-2.16,0.8577,2019-08-01
2019-12-01,2019,DICIEMBRE,2do Semestre,10 MGD,0.84,0.6098,100.0,1.4,27,NORMAL,1,0.0,0.84,2019-12-01
2019-01-01,2019,ENERO,1er Semestre,10 MGD,0.95,0.6678,98.8,1.3,33,NORMAL,1,4.0,0.9386,2019-01-01
2019-02-01,2019,FEBRERO,1er Semestre,10 MGD,0.9,0.6419,100.0,1.3,38,NORMAL,1,1.21,0.9,2019-02-01
2019-07-01,2019,JULIO,2do Semestre,10 MGD,0.9,0.6419,97.4,1.2,38,NORMAL,1,1.35,0.8766,2019-07-01
2019-06-01,2019,JUNIO,1er Semestre,10 MGD,0.9,0.6419,96.1,1.2,36,NORMAL,1,-3.42,0.8649,2019-06-01
2019-03-01,2019,MARZO,1er Semestre,10 MGD,0.94,0.6627,98.1,1.2,32,NORMAL,1,-1.9,0.9221,2019-03-01
2019-05-01,2019,MAYO,1er Semestre,10 MGD,0.94,0.6627,99.5,1.3,43,NORMAL,1,2.79,0.9353,2019-05-01
2019-11-01,2019,NOVIEMBRE,2do Semestre,10 MGD,0.84,0.6098,100.0,1.4,27,NORMAL,1,3.41,0.84,2019-11-01
2019-10-01,2019,OCTUBRE,2do Semestre,10 MGD,0.89,0.6366,96.7,1.2,36,NORMAL,1,-3.3,0.8606,2019-10-01
2019-09-01,2019,SEPTIEMBRE,2do Semestre,10 MGD,0.93,0.6575,100.0,1.3,36,NORMAL,1,4.93,0.93,2019-09-01
2020-04-01,2020,ABRIL,1er Semestre,10 MGD,0.96,0.6729,100.0,1.2,32,NORMAL,1,0.6,0.96,2020-04-01
